time,k,model,infolder,seed,result_folder,n_folds,top_100_percent,top_90_percent,top_80_percent,top_70_percent,top_60_percent,top_50_percent,top_40_percent,top_30_percent,top_20_percent,top_10_percent,10_better_100,top_100_percentT,top_90_percentT,top_80_percentT,top_70_percentT,top_60_percentT,top_50_percentT,top_40_percentT,top_30_percentT,top_20_percentT,top_10_percentT,10_better_100T,top_100_percentB,top_90_percentB,top_80_percentB,top_70_percentB,top_60_percentB,top_50_percentB,top_40_percentB,top_30_percentB,top_20_percentB,top_10_percentB,10_better_100B,top_100_f1_score,top_90_f1_score,top_80_f1_score,top_70_f1_score,top_60_f1_score,top_50_f1_score,top_40_f1_score,top_30_f1_score,top_20_f1_score,top_10_f1_score,log_p_train_T,log_p_train_B,log_p_test_T,log_p_test_B,p_train_T,p_train_B,p_test_T,p_test_B,std_log_p_train_T,std_log_p_train_B,std_log_p_test_T,std_log_p_test_B,std_p_train_T,std_p_train_B,std_p_test_T,std_p_test_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:00:33 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,0,results/152338757607,5,54.86021505,51.85185185,53.33333333,49.52380952,48.88888889,52,56.66666667,60,63.33333333,66.66666667,TRUE,62.66666667,60.98901099,64.62703963,59.40909091,56.65873016,60.38095238,71,81.66666667,95,100,TRUE,47,42.85714286,41.48018648,37.35508936,38.52020202,41.72222222,42.61904762,44,36,50,TRUE,0.514285714,0.471544715,0.481481481,0.442105263,0.452380952,0.5,0.551724138,0.590909091,0.592592593,0.666666667,-2175.661217,-2447.875796,-2264.734234,-2501.630705,6.72E-119,2.51E-224,2.89E-137,4.23E-223,1067.006998,1121.971382,1138.132177,1168.73482,1.16E-117,0,2.48E-136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:02:08 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,0,results/15233875760,5,64.94623656,65.18518519,66.66666667,66.66666667,65.55555556,65.33333333,66.66666667,73.33333333,63.33333333,66.66666667,TRUE,65.33333333,66.46520147,71.02097902,70.55555556,68.11688312,69.56349206,73.5,87.14285714,75,83.33333333,TRUE,64.66666667,64.00732601,62.997003,62.22222222,62.38961039,57.53968254,58.57142857,61.33333333,52.66666667,56.66666667,FALSE,0.649006623,0.656934307,0.672131148,0.672897196,0.666666667,0.638888889,0.655172414,0.714285714,0.666666667,0.705882353,-480.2796296,-507.7564062,-484.8546377,-511.8486278,1.71E-27,2.71E-17,1.30E-27,3.73E-16,265.2736919,369.7353533,266.1339591,379.6548801,2.69E-26,3.01E-16,1.11E-26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:03:41 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,0,results/152339841181,5,59.5483871,59.25925926,60,60,58.88888889,62.66666667,60,62.22222222,60,66.66666667,TRUE,60,56.53846154,57.24242424,54.77777778,55.75396825,59.68253968,54.85714286,60,80,100,TRUE,59,60.57142857,60.65934066,62.83216783,60.24242424,62.83333333,63.35714286,71.19047619,62,53.33333333,FALSE,0.59602649,0.615384615,0.625,0.644067797,0.626262626,0.658536585,0.636363636,0.690909091,0.647058824,0.705882353,-1839.291453,-2162.073689,-1952.722547,-2226.166034,3.12E-124,8.27E-199,2.42E-125,5.06E-250,948.6566873,1060.367523,1069.218569,1081.680167,5.40E-123,0,2.08E-124,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:05:16 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,0,results/152339160454,5,51.6344086,50.37037037,51.66666667,52.38095238,54.44444444,56,55,53.33333333,50,66.66666667,TRUE,58.66666667,56.63003663,57.17948718,59.06060606,57.33333333,58.80952381,51.95238095,46.66666667,30,50,FALSE,44.75,44.02930403,45.60606061,46.54545455,51.33333333,54.84126984,56.45238095,58,61.66666667,80,TRUE,0.482269504,0.464,0.482142857,0.479166667,0.517647059,0.547945205,0.571428571,0.571428571,0.594594595,0.736842105,-166.4327941,-209.6267707,-238.3548581,-233.6857392,inf,inf,inf,inf,444.7263719,620.9083584,412.9475515,550.6606122,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:06:51 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,0,results/15234050825,5,61.01075269,63.7037037,65.83333333,63.80952381,64.44444444,66.66666667,66.66666667,66.66666667,63.33333333,53.33333333,FALSE,60,64.7985348,65.45454545,61.41414141,65.1010101,72.85714286,75.78571429,78.14285714,76.66666667,80,TRUE,62.16666667,61.38461538,63.91608392,61.72222222,60.02380952,59.28571429,54.19047619,46.66666667,40,30,FALSE,0.614379085,0.631578947,0.643478261,0.62,0.609756098,0.637681159,0.615384615,0.545454545,0.52173913,0.461538462,75.37183241,51.95834412,60.46881072,37.50276754,inf,inf,inf,inf,359.2485536,546.5019928,341.8679436,561.4760322,nan,nan,nan,6.55E-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:08:26 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,0,results/152340209939,5,58.94623656,59.25925926,58.33333333,58.0952381,61.11111111,61.33333333,61.66666667,55.55555556,46.66666667,53.33333333,FALSE,69.33333333,71.04029304,68.71128871,71.67055167,74.35164835,75.25252525,77.14285714,78.66666667,63.33333333,41.66666667,FALSE,48.58333333,46.3003663,43.74825175,39.5,37.04545455,36.50793651,34.55555556,29.28571429,24,38.88888889,FALSE,0.544117647,0.52991453,0.5,0.488372093,0.492753623,0.49122807,0.510638298,0.473684211,0.428571429,0.461538462,-1961.916549,-2252.863105,-2038.997654,-2296.818152,4.29E-129,1.63E-201,2.92E-143,7.56E-135,1012.440976,1126.829969,1030.225921,1091.890781,7.42E-128,0,2.52E-142,2.38E-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:09:59 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,0,results/15234112239,5,50.90322581,50.37037037,50.83333333,50.47619048,53.33333333,53.33333333,56.66666667,60,60,60,TRUE,53.33333333,53.85714286,53.46153846,51.3038073,54.02236652,52.66666667,55.80952381,55.33333333,73.33333333,75,TRUE,48.16666667,48.61538462,48.78787879,49.24242424,47.95670996,49.03968254,51.61904762,60.66666667,55,50,TRUE,0.5,0.480620155,0.477876106,0.490196078,0.522727273,0.520547945,0.566666667,0.64,0.6,0.571428571,-1611.184008,-1900.102366,-1690.624621,-1978.715815,5.59E-114,4.80E-139,2.81E-120,2.75E-157,903.479287,999.1943409,965.7097514,1029.374449,9.64E-113,6.37E-138,2.42E-119,1.52E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:11:34 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,0,results/152341671728,5,59.65591398,59.25925926,59.16666667,59.04761905,62.22222222,61.33333333,60,57.77777778,56.66666667,73.33333333,TRUE,62.66666667,62.10989011,60.38128538,63.29292929,67.83333333,69.57142857,67,67.66666667,71.33333333,87.5,TRUE,56.75,55.80586081,56.91142191,54.39393939,56.72222222,53,53.45238095,52.66666667,63,73.33333333,TRUE,0.585034014,0.573643411,0.581196581,0.574257426,0.595238095,0.567164179,0.586206897,0.558139535,0.580645161,0.75,-393.9055574,-357.665152,-397.3125637,-357.3121814,6.28E-16,3.45E-15,3.97E-16,2.01E-11,202.7368028,194.0657813,203.0106558,193.3873577,5.49E-15,4.34E-14,3.41E-15,3.18E-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:13:08 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,0,results/15234196061,5,53.6344086,53.33333333,51.66666667,47.61904762,50,46.66666667,45,44.44444444,46.66666667,40,FALSE,54.66666667,54.52380952,52.48484848,51.87878788,53,51.9047619,53.33333333,56.16666667,78.66666667,87.5,TRUE,52.33333333,51.69230769,49.04761905,41.27272727,43.77777778,38.53174603,29.5,24,25.33333333,16.66666667,FALSE,0.533333333,0.540145985,0.524590164,0.466019417,0.470588235,0.428571429,0.377358491,0.324324324,0.384615385,0.307692308,-1749.910362,-1981.870978,-1866.066156,-2006.064946,1.07E-87,1.30E-107,1.32E-109,3.67E-109,933.7941538,1070.486164,1049.884468,1109.215062,1.81E-86,2.27E-106,1.14E-108,3.77E-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:14:41 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,0,results/152344517276,5,52.27956989,52.59259259,57.5,57.14285714,56.66666667,54.66666667,60,62.22222222,66.66666667,66.66666667,TRUE,57.33333333,58.86446886,64.05594406,61.91919192,62.34920635,61.9047619,70.14285714,68.66666667,88.33333333,100,TRUE,47.16666667,47.49084249,52.95804196,54.66666667,52.75252525,49.44444444,48.28571429,51.66666667,53.33333333,60,TRUE,0.5,0.492063492,0.540540541,0.563106796,0.561797753,0.540540541,0.6,0.638297872,0.666666667,0.666666667,-1384.87382,-1650.342475,-1484.395213,-1725.285555,1.05E-57,4.61E-87,1.63E-58,4.35E-94,812.4154913,966.8682818,912.5056787,984.9022897,1.80E-56,8.02E-86,1.40E-57,2.11E-153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
