Time,k,d,n_init,max_iter,seed,n_folds,total_correct,out_of,percent_correct,train_score_T,train_score_B,avg_correct_T,avg_correct_B,model,infolder,result_folder,
Tue Apr 10 17:15:14 2018,4,25,5,400,0,5,83,151,54.86021505,-130539.673,-144073.3542,62.66666667,47,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152338757607,0.498353096
Tue Apr 10 18:01:41 2018,4,5,5,400,0,5,98,151,64.94623656,-28816.77778,-29746.97231,65.33333333,64.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/15233875760,0.649434163
Tue Apr 10 19:13:34 2018,4,25,5,400,0,5,90,151,59.5483871,-110357.4872,-123432.5334,60,59,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152339841181,0.577408355
Tue Apr 10 20:00:20 2018,4,5,5,400,0,5,78,151,51.6344086,-9985.967644,-10266.03481,58.66666667,44.75,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152339160454,0.481856079
Tue Apr 10 23:14:44 2018,5,5,5,400,0,5,92,151,61.01075269,4522.309945,5033.314296,60,62.16666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/15234050825,0.612490905
Wed Apr 11 00:05:45 2018,5,25,5,400,0,5,89,151,58.94623656,-117714.993,-130294.7778,69.33333333,48.58333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152340209939,0.52977353
Wed Apr 11 00:12:48 2018,5,25,5,400,0,5,77,151,50.90322581,-96671.04047,-108246.6907,53.33333333,48.16666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/15234112239,0.472247752
Wed Apr 11 07:12:04 2018,6,5,5,400,0,5,90,151,59.65591398,-23634.33344,-21358.74566,62.66666667,56.75,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152341671728,0.583560026
Wed Apr 11 07:35:13 2018,6,25,5,400,0,5,81,151,53.6344086,-104994.6217,-118609.5786,54.66666667,52.33333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/15234196061,0.521228284
Wed Apr 11 08:29:50 2018,6,25,5,400,0,5,79,151,52.27956989,-83092.42922,-95209.82884,57.33333333,47.16666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152344517276,0.492142093
Wed Apr 11 09:57:13 2018,4,25,5,400,1111,5,79,151,52.34408602,-128129.521,-143196.8962,61.33333333,43.33333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152344984799,0.469483086
Wed Apr 11 13:50:50 2018,4,25,5,400,1111,5,84,151,55.5483871,-109247.8082,-123892.5386,68,43,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152346488756,0.480766214
